OBS#,CHK_ACCT,DURATION,HISTORY,NEW_CAR,USED_CAR,FURNITURE,RADIO/TV,EDUCATION,RETRAINING,AMOUNT,SAV_ACCT,EMPLOYMENT,INSTALL_RATE,MALE_DIV,MALE_SINGLE,MALE_MAR_or_WID,CO-APPLICANT,GUARANTOR,PRESENT_RESIDENT,REAL_ESTATE,PROP_UNKN_NONE,AGE,OTHER_INSTALL,RENT,OWN_RES,NUM_CREDITS,JOB,NUM_DEPENDENTS,TELEPHONE,FOREIGN,DEFAULT
99,1,36,4,0,0,0,1,0,0,2337,0,4,4,0,1,0,0,0,4,1,0,36,0,0,1,1,2,1,0,0,0
100,1,20,3,0,1,0,0,0,0,7057,4,3,3,0,1,0,0,0,4,0,0,36,1,1,0,2,3,2,1,0,0
101,3,24,2,1,0,0,0,0,0,1469,1,4,4,0,0,1,0,0,4,1,0,41,0,1,0,1,1,1,0,0,0
102,1,36,2,0,0,0,1,0,0,2323,0,3,4,0,1,0,0,0,4,0,0,24,0,1,0,1,2,1,0,0,0
103,3,6,3,0,0,0,1,0,0,932,0,2,3,0,0,0,0,0,2,1,0,24,0,0,1,1,2,1,0,0,0
104,1,9,4,0,0,1,0,0,0,1919,0,3,4,0,1,0,0,0,3,0,0,35,0,1,0,1,2,1,1,0,0
105,3,12,2,0,1,0,0,0,0,2445,4,1,2,0,0,1,0,0,4,0,0,26,0,1,0,1,2,1,1,0,0
106,1,24,4,0,0,0,0,0,0,11938,0,2,2,0,1,0,1,0,3,0,0,39,0,0,1,2,3,2,1,0,1
107,3,18,1,1,0,0,0,0,0,6458,0,4,2,0,1,0,0,0,4,0,1,39,1,0,1,2,3,2,1,0,1
108,1,12,2,1,0,0,0,0,0,6078,0,3,2,0,1,0,0,0,2,0,0,32,0,0,1,1,2,1,0,0,0
109,0,24,2,0,0,1,0,0,0,7721,4,1,1,0,0,0,0,0,2,0,0,30,0,0,1,1,2,1,1,1,0
110,1,14,2,0,0,0,0,0,1,1410,2,4,1,0,0,1,0,0,2,1,0,35,0,0,1,1,2,1,1,0,0
111,1,6,3,0,0,0,0,0,1,1449,1,4,1,1,0,0,0,0,2,0,0,31,1,0,1,2,2,2,0,0,0
112,2,15,2,0,0,0,0,1,0,392,0,1,4,0,0,0,0,0,4,0,0,23,0,1,0,1,2,1,1,0,0
113,1,18,2,1,0,0,0,0,0,6260,0,3,3,0,1,0,0,0,3,1,0,28,0,1,0,1,1,1,0,0,0
114,3,36,4,1,0,0,0,0,0,7855,0,2,4,0,0,0,0,0,2,1,0,25,1,0,1,2,2,1,1,0,1
115,0,12,2,0,0,0,1,0,0,1680,2,4,3,0,0,1,0,0,1,1,0,35,0,0,1,1,2,1,0,0,0
116,3,48,4,0,0,0,1,0,0,3578,4,4,4,0,1,0,0,0,1,1,0,47,0,0,1,1,2,1,1,0,0
117,0,42,2,0,0,0,1,0,0,7174,4,3,4,0,0,0,0,0,3,0,0,30,0,0,1,1,3,1,1,0,1
118,0,10,4,0,0,1,0,0,0,2132,4,1,2,0,0,0,1,0,3,1,0,27,0,1,0,2,2,1,0,1,0
119,0,33,4,0,0,1,0,0,0,4281,2,2,1,0,0,0,0,0,4,0,0,23,0,0,1,2,2,1,0,0,1
120,1,12,4,1,0,0,0,0,0,2366,2,3,3,1,0,0,0,0,3,0,0,36,0,0,1,1,3,1,1,0,0
121,0,21,2,0,0,0,1,0,0,1835,0,2,3,0,0,0,0,0,2,1,0,25,0,0,1,2,2,1,1,0,1
122,3,24,4,0,1,0,0,0,0,3868,0,4,4,0,0,0,0,0,2,0,0,41,0,1,0,2,3,1,1,0,0
123,3,12,2,0,0,1,0,0,0,1768,0,2,3,0,1,0,0,0,2,1,0,24,0,1,0,1,1,1,0,0,0
124,2,10,4,1,0,0,0,0,0,781,0,4,4,0,1,0,0,0,4,0,1,63,0,0,0,2,2,1,1,0,0
125,1,18,2,0,0,1,0,0,0,1924,4,1,4,0,0,0,0,0,3,1,0,27,0,1,0,1,2,1,0,0,1
126,0,12,4,1,0,0,0,0,0,2121,0,2,4,0,1,0,0,0,2,0,0,30,0,0,1,2,2,1,0,0,0
127,0,12,2,0,0,0,1,0,0,701,0,2,4,0,0,1,0,0,2,1,0,40,0,0,1,1,1,1,0,0,0
128,1,12,2,0,0,0,0,0,0,639,0,2,4,0,1,0,0,0,2,0,0,30,0,0,1,1,2,1,0,0,1
129,1,12,4,0,1,0,0,0,0,1860,0,0,4,0,1,0,0,0,2,0,0,34,0,0,1,2,3,1,1,0,0
130,0,12,4,1,0,0,0,0,0,3499,0,2,3,0,0,0,1,0,2,1,0,29,0,0,1,2,2,1,0,0,1
131,1,48,2,1,0,0,0,0,0,8487,4,3,1,0,0,0,0,0,2,0,0,24,0,0,1,1,2,1,0,0,0
132,0,36,3,0,0,0,0,1,0,6887,0,2,4,0,1,0,0,0,3,0,0,29,1,0,1,1,2,1,1,0,1
133,3,15,2,0,0,1,0,0,0,2708,0,1,2,0,1,0,0,0,3,0,0,27,1,0,1,2,1,1,0,0,0
134,3,18,2,0,0,1,0,0,0,1984,0,2,4,0,1,0,0,0,4,0,1,47,1,0,0,2,2,1,0,0,0
135,3,60,2,0,0,0,1,0,0,10144,1,3,2,0,0,0,0,0,4,1,0,21,0,0,1,1,2,1,1,0,0
136,3,12,4,0,0,0,1,0,0,1240,4,4,4,0,0,0,0,0,2,1,0,38,0,0,1,2,2,1,1,0,0
137,3,27,3,0,1,0,0,0,0,8613,3,2,2,0,1,0,0,0,2,0,0,27,0,0,1,2,2,1,0,0,0
138,1,12,2,0,0,0,1,0,0,766,2,2,4,0,1,0,0,0,3,1,0,66,0,0,1,1,1,1,0,0,1
139,1,15,4,0,0,0,1,0,0,2728,4,3,4,0,1,0,0,1,2,1,0,35,1,0,1,3,2,1,1,0,0
140,2,12,2,0,0,0,1,0,0,1881,0,2,2,0,0,0,0,0,2,0,0,44,0,1,0,1,1,1,1,0,0
141,2,6,2,1,0,0,0,0,0,709,3,1,2,0,0,1,0,0,2,1,0,27,0,0,1,1,0,1,0,1,0
142,1,36,2,0,0,0,1,0,0,4795,0,1,4,0,0,0,0,0,1,0,1,30,0,0,1,1,3,1,1,0,0
143,0,27,2,0,0,0,1,0,0,3416,0,2,3,0,1,0,0,0,2,0,0,27,0,0,1,1,3,1,0,0,0
144,0,18,2,0,0,1,0,0,0,2462,0,2,2,0,1,0,0,0,2,0,0,22,0,0,1,1,2,1,0,0,1
145,3,21,4,0,0,1,0,0,0,2288,0,1,4,0,0,0,0,0,4,0,0,23,0,0,1,1,2,1,1,0,0
146,1,48,1,0,0,0,0,0,1,3566,1,3,4,0,1,0,0,0,2,0,0,30,0,0,1,1,2,1,0,0,0
147,0,6,4,1,0,0,0,0,0,860,0,4,1,0,0,0,0,0,4,0,1,39,0,0,1,2,2,1,1,0,0
148,3,12,4,1,0,0,0,0,0,682,1,3,4,0,0,0,0,0,3,0,0,51,0,0,1,2,2,1,1,0,0
149,0,36,4,0,0,1,0,0,0,5371,0,2,3,0,1,0,0,1,2,0,0,28,0,0,1,2,2,1,0,0,0
150,3,18,4,0,0,0,1,0,0,1582,3,4,4,0,1,0,0,0,4,0,0,46,0,0,1,2,2,1,0,0,0
151,3,6,2,0,0,0,1,0,0,1346,1,4,2,0,1,0,0,0,4,0,1,42,1,0,0,1,2,2,1,0,0
152,3,10,2,0,0,0,1,0,0,1924,0,2,1,0,1,0,0,0,4,0,0,38,0,0,1,1,2,1,1,1,0
153,2,36,2,0,0,0,1,0,0,5848,0,2,4,0,1,0,0,0,1,0,0,24,0,0,1,1,2,1,0,0,0
154,1,24,4,0,1,0,0,0,0,7758,3,4,2,0,0,0,0,0,4,0,1,29,0,1,0,1,2,1,0,0,0
155,1,24,3,0,0,0,0,0,1,6967,1,3,4,0,1,0,0,0,4,0,0,36,0,1,0,1,3,1,1,0,0
156,0,12,2,0,0,1,0,0,0,1282,0,2,2,0,0,0,0,0,4,0,0,20,0,1,0,1,2,1,0,0,1
157,0,9,4,0,0,0,0,0,0,1288,1,4,3,0,1,0,0,1,4,1,0,48,0,0,1,2,2,2,0,1,0
158,0,12,1,0,0,0,0,0,0,339,0,4,4,0,0,1,0,0,1,0,0,45,1,0,1,1,1,1,0,0,0
159,1,24,2,1,0,0,0,0,0,3512,1,3,2,0,1,0,0,0,3,0,0,38,1,0,1,2,2,1,1,0,0
160,3,6,4,0,0,0,1,0,0,1898,4,2,1,0,1,0,0,0,2,1,0,34,0,0,1,2,1,2,0,0,0
161,3,24,4,0,0,0,1,0,0,2872,1,4,3,0,1,0,0,0,4,1,0,36,0,0,1,1,2,2,1,0,0
162,3,18,4,1,0,0,0,0,0,1055,0,1,4,0,0,0,0,0,1,0,0,30,0,0,1,2,2,1,0,0,0
163,3,15,2,0,0,0,0,0,0,1262,2,3,4,0,1,0,0,0,3,0,0,36,0,0,1,2,2,1,1,0,0
164,1,10,2,1,0,0,0,0,0,7308,0,0,2,0,1,0,0,0,4,0,1,70,1,0,0,1,3,1,1,0,0
165,3,36,2,1,0,0,0,0,0,909,2,4,4,0,1,0,0,0,4,0,0,36,0,0,1,1,2,1,0,0,0
166,3,6,2,0,0,1,0,0,0,2978,2,2,1,0,1,0,0,0,2,0,0,32,0,0,1,1,2,1,1,0,0
167,0,18,2,0,0,1,0,0,0,1131,0,0,4,0,0,0,0,0,2,0,0,33,0,0,1,1,2,1,0,0,1
168,1,11,2,0,0,1,0,0,0,1577,3,1,4,0,0,0,0,0,1,1,0,20,0,0,1,1,2,1,0,0,0
169,3,24,2,0,0,1,0,0,0,3972,0,3,2,0,0,0,0,0,4,0,0,25,0,1,0,1,2,1,1,0,0
170,1,24,4,0,0,0,0,0,1,1935,0,4,4,1,0,0,0,0,4,1,0,31,0,0,1,2,2,1,1,0,1
171,0,15,0,1,0,0,0,0,0,950,0,4,4,0,1,0,0,0,3,0,0,33,0,1,0,2,2,2,0,0,1
172,3,12,2,0,0,1,0,0,0,763,0,2,4,0,0,0,0,0,1,1,0,26,0,0,1,1,2,1,1,0,0
173,1,24,3,0,0,1,0,0,0,2064,0,0,3,0,0,0,0,0,2,0,0,34,0,0,1,1,3,1,1,0,1
174,1,8,2,0,0,0,1,0,0,1414,0,2,4,0,1,0,0,1,2,1,0,33,0,0,1,1,2,1,0,1,0
175,0,21,3,0,0,0,0,1,0,3414,0,1,2,0,1,0,0,0,1,0,0,26,0,0,1,2,2,1,0,0,1
176,3,30,1,0,1,0,0,0,0,7485,4,0,4,0,0,0,0,0,1,1,0,53,1,0,1,1,3,1,1,0,1
177,0,12,2,0,0,1,0,0,0,2577,0,2,2,1,0,0,0,0,1,0,0,42,0,0,1,1,2,1,0,0,0
178,0,6,4,0,0,0,1,0,0,338,2,4,4,0,1,0,0,0,4,0,0,52,0,0,1,2,2,1,0,0,0
179,3,12,2,0,0,0,1,0,0,1963,0,3,4,0,1,0,0,0,2,0,0,31,0,1,0,2,3,2,1,0,0
180,0,21,4,1,0,0,0,0,0,571,0,4,4,0,1,0,0,0,4,1,0,65,0,0,1,2,2,1,0,0,0
181,3,36,3,0,0,0,0,0,1,9572,0,1,1,1,0,0,0,0,1,0,0,28,0,0,1,2,2,1,0,0,1
182,1,36,3,0,0,0,0,0,1,4455,0,2,2,1,0,0,0,0,2,1,0,30,1,0,1,2,3,1,1,0,1
183,0,21,1,1,0,0,0,0,0,1647,4,2,4,0,1,0,0,0,2,0,0,40,0,0,1,2,1,2,0,0,1
184,3,24,4,0,0,1,0,0,0,3777,3,2,4,0,1,0,0,0,4,1,0,50,0,0,1,1,2,1,1,0,0
185,1,18,4,1,0,0,0,0,0,884,0,4,4,0,1,0,0,0,4,0,0,36,1,0,1,1,2,2,1,0,1
186,3,15,4,0,0,0,1,0,0,1360,0,2,4,0,1,0,0,0,2,0,0,31,0,0,1,2,2,1,0,0,0
187,1,9,1,0,1,0,0,0,0,5129,0,4,2,0,0,0,0,0,4,0,1,74,1,0,0,1,3,2,1,0,1
188,1,16,4,1,0,0,0,0,0,1175,0,0,2,0,1,0,0,0,3,0,0,68,0,0,0,3,0,1,1,0,0
189,0,12,2,0,0,0,1,0,0,674,1,3,4,0,0,1,0,0,1,0,0,20,0,0,1,1,2,1,0,0,1
190,1,18,0,0,0,1,0,0,0,3244,0,2,1,0,0,0,0,0,4,0,0,33,1,0,1,2,2,1,1,0,0
191,3,24,2,0,0,0,0,0,1,4591,3,2,2,0,1,0,0,0,3,0,0,54,0,0,1,3,3,1,1,0,1
192,1,48,0,0,0,0,0,0,1,3844,1,3,4,0,1,0,0,0,4,0,1,34,0,0,0,1,1,2,0,0,1
193,1,27,2,0,0,0,0,0,1,3915,0,2,4,0,1,0,0,0,2,0,0,36,0,0,1,1,2,2,1,0,1
194,3,6,2,0,0,0,1,0,0,2108,0,3,2,0,0,1,0,0,2,1,0,29,0,1,0,1,2,1,0,0,0
195,1,45,2,0,0,0,1,0,0,3031,1,2,4,0,1,0,0,1,4,0,0,21,0,1,0,1,2,1,0,0,1
196,1,9,4,0,0,0,0,1,0,1501,0,4,2,0,0,0,0,0,3,0,0,34,0,0,1,2,3,1,1,0,1
197,3,6,4,0,0,0,1,0,0,1382,0,2,1,0,0,0,0,0,1,0,0,28,0,0,1,2,2,1,1,0,0
198,1,12,2,0,0,1,0,0,0,951,1,1,4,0,0,0,0,0,4,0,0,27,1,1,0,4,2,1,0,0,1
199,1,24,2,0,1,0,0,0,0,2760,4,4,4,0,1,0,0,0,4,0,1,36,1,0,0,1,2,1,1,0,0
200,1,18,3,0,0,1,0,0,0,4297,0,4,4,1,0,0,0,0,3,0,1,40,0,0,1,1,3,1,1,0,1
201,3,9,4,0,0,0,0,1,0,936,2,4,4,0,1,0,0,0,2,0,0,52,0,0,1,2,2,1,1,0,0
202,0,12,2,1,0,0,0,0,0,1168,0,2,4,0,0,1,0,0,3,1,0,27,0,0,1,1,1,1,0,0,0
203,3,27,3,0,0,0,0,0,1,5117,0,3,3,0,1,0,0,0,4,0,0,26,0,0,1,2,2,1,0,0,0
204,0,12,2,0,0,0,0,0,0,902,0,3,4,0,0,1,0,0,4,0,0,21,0,1,0,1,2,1,0,0,1
205,3,12,4,1,0,0,0,0,0,1495,0,4,4,0,1,0,0,0,1,1,0,38,0,0,1,2,1,2,0,0,0
206,0,30,4,0,1,0,0,0,0,10623,0,4,3,0,1,0,0,0,4,0,1,38,0,0,0,3,3,2,1,0,0
207,3,12,4,0,0,1,0,0,0,1935,0,4,4,0,1,0,0,0,4,1,0,43,0,0,1,3,2,1,1,0,0
208,1,12,4,0,0,0,0,0,0,1424,0,3,4,0,1,0,0,0,3,0,0,26,0,0,1,1,2,1,0,0,0
209,0,24,2,0,0,0,0,0,1,6568,0,2,2,0,0,1,0,0,2,0,0,21,1,0,1,1,1,1,0,0,0
210,3,12,2,0,1,0,0,0,0,1413,3,3,3,0,1,0,0,0,2,0,0,55,0,0,1,1,2,1,0,1,0
211,3,9,4,0,0,0,1,0,0,3074,4,2,1,0,1,0,0,0,2,1,0,33,0,0,1,2,2,2,0,0,0
212,3,36,2,0,0,0,1,0,0,3835,4,4,2,0,0,0,0,0,4,1,0,45,0,0,1,1,1,1,1,0,0
213,0,27,0,0,0,0,0,0,1,5293,0,0,2,0,1,0,0,0,4,0,0,50,1,0,1,2,2,1,1,0,1
214,2,30,3,0,0,0,0,0,1,1908,0,4,4,0,1,0,0,0,4,1,0,66,0,0,1,1,3,1,1,0,1
215,3,36,4,0,0,0,1,0,0,3342,4,4,4,0,1,0,0,0,2,0,0,51,0,0,1,1,2,1,1,0,0
216,1,6,4,0,0,0,0,0,0,932,4,3,1,0,0,0,0,0,3,0,0,39,0,0,1,2,1,1,0,0,0
217,0,18,0,0,0,0,0,0,1,3104,0,3,3,0,1,0,0,0,1,0,0,31,1,0,1,1,2,1,1,0,0
218,2,36,2,0,0,0,1,0,0,3913,0,2,2,0,1,0,0,0,2,1,0,23,0,0,1,1,2,1,1,0,0
219,0,24,2,0,0,1,0,0,0,3021,0,2,2,1,0,0,0,0,2,1,0,24,0,1,0,1,1,1,0,0,0
220,3,10,2,1,0,0,0,0,0,1364,0,2,2,0,0,0,0,0,4,0,0,64,0,0,1,1,2,1,1,0,0
221,1,12,2,0,0,0,1,0,0,625,0,1,4,0,0,1,0,1,1,1,0,26,1,0,1,1,1,1,0,0,0
222,0,12,2,0,0,0,0,1,0,1200,4,2,4,0,0,0,0,0,4,0,0,23,1,1,0,1,2,1,1,0,0
223,3,12,2,0,0,0,1,0,0,707,0,2,4,0,1,0,0,0,2,1,0,30,1,0,1,2,2,1,0,0,0
224,3,24,3,0,0,0,0,0,1,2978,4,2,4,0,1,0,0,0,4,1,0,32,0,0,1,2,2,2,1,0,0
225,3,15,2,0,1,0,0,0,0,4657,0,2,3,0,1,0,0,0,2,0,0,30,0,0,1,1,2,1,1,0,0
226,3,36,0,0,0,0,0,0,0,2613,0,2,4,0,1,0,0,0,2,0,0,27,0,0,1,2,2,1,0,0,0
227,1,48,2,0,0,0,1,0,0,10961,3,3,1,0,1,0,1,0,2,0,1,27,1,0,1,2,2,1,1,0,1
228,0,12,2,0,0,1,0,0,0,7865,0,4,4,0,1,0,0,0,4,0,1,53,0,0,0,1,3,1,1,0,1
229,3,9,2,0,0,0,1,0,0,1478,0,3,4,0,1,0,0,0,2,0,0,22,0,0,1,1,2,1,0,0,1
230,0,24,2,0,0,1,0,0,0,3149,0,1,4,0,1,0,0,0,1,0,1,22,1,0,0,1,2,1,0,0,0
231,2,36,2,0,0,0,1,0,0,4210,0,2,4,0,1,0,0,0,2,0,0,26,0,0,1,1,2,1,0,0,1
232,3,9,2,1,0,0,0,0,0,2507,2,4,2,0,1,0,0,0,4,0,1,51,0,0,0,1,1,1,0,0,0
233,3,12,2,0,0,0,1,0,0,2141,1,3,3,0,1,0,0,0,1,0,1,35,0,0,1,1,2,1,0,0,0
234,1,18,2,0,0,0,1,0,0,866,0,2,4,0,0,1,0,1,2,1,0,25,0,0,1,1,1,1,0,0,0
235,3,4,4,0,0,0,1,0,0,1544,0,3,2,0,1,0,0,0,1,1,0,42,0,0,1,3,1,2,0,0,0
236,0,24,2,0,0,0,1,0,0,1823,0,0,4,0,1,0,0,0,2,0,0,30,1,0,1,1,3,2,0,0,1
237,1,6,2,1,0,0,0,0,0,14555,4,0,1,0,1,0,0,0,2,0,0,23,0,0,1,1,0,1,1,0,1
238,1,21,2,0,0,0,0,0,1,2767,1,4,4,1,0,0,0,0,2,0,0,61,1,1,0,2,1,1,0,0,1
239,3,12,4,0,0,0,1,0,0,1291,0,2,4,0,0,0,0,0,2,0,0,35,0,0,1,2,2,1,0,0,0
240,0,30,2,0,0,0,1,0,0,2522,0,4,1,0,1,0,0,1,3,0,0,39,0,0,1,1,2,2,0,0,0
241,0,24,2,1,0,0,0,0,0,915,4,4,4,0,0,0,0,0,2,0,0,29,1,0,1,1,2,1,0,0,1
242,3,6,2,0,0,0,1,0,0,1595,0,3,3,0,1,0,0,0,2,0,0,51,0,0,1,1,2,2,0,0,0
243,0,48,0,0,1,0,0,0,0,4605,0,4,3,0,1,0,0,0,4,0,1,24,0,0,0,2,2,2,0,0,1
244,3,12,4,0,0,0,0,0,1,1185,0,2,3,0,0,0,0,0,2,1,0,27,0,0,1,2,2,1,0,0,0
245,3,12,1,0,0,0,0,0,0,3447,2,2,4,0,0,0,0,0,3,1,0,35,0,0,1,1,1,2,0,0,0
246,3,24,2,0,0,0,0,0,1,1258,0,3,4,0,1,0,0,0,1,1,0,25,0,0,1,1,2,1,1,0,0
247,3,12,4,0,0,0,1,0,0,717,0,4,4,0,1,0,0,0,4,1,0,52,0,0,1,3,2,1,0,0,0
248,3,6,0,1,0,0,0,0,0,1204,1,2,4,0,1,0,0,0,1,0,1,35,1,1,0,1,2,1,0,1,0
249,2,24,2,0,0,1,0,0,0,1925,0,2,2,0,1,0,0,0,2,1,0,26,0,0,1,1,2,1,0,0,0
250,3,18,2,0,0,0,1,0,0,433,0,0,3,0,0,0,1,0,4,1,0,22,0,1,0,1,2,1,0,0,1
251,0,6,4,1,0,0,0,0,0,666,3,3,3,0,0,0,0,0,4,1,0,39,0,0,1,2,1,1,1,0,0
252,2,12,2,0,0,1,0,0,0,2251,0,2,1,0,0,0,0,0,2,0,0,46,0,0,1,1,1,1,0,0,0
253,1,30,2,1,0,0,0,0,0,2150,0,2,4,0,0,0,0,1,2,0,1,24,1,0,1,1,2,1,0,0,1
254,3,24,3,0,0,1,0,0,0,4151,1,2,2,0,1,0,0,0,3,0,0,35,0,0,1,2,2,1,0,0,0
255,1,9,2,0,0,1,0,0,0,2030,4,3,2,0,1,0,0,0,1,0,0,24,0,0,1,1,2,1,1,0,0
256,1,60,3,0,0,0,1,0,0,7418,4,2,1,0,1,0,0,0,1,1,0,27,0,0,1,1,1,1,0,0,0
257,3,24,4,0,0,0,1,0,0,2684,0,2,4,0,1,0,0,0,2,1,0,35,0,0,1,2,1,1,0,0,0
258,0,12,1,0,0,0,1,0,0,2149,0,2,4,1,0,0,0,0,1,0,1,29,0,0,0,1,2,1,0,0,1
259,3,15,2,0,1,0,0,0,0,3812,1,1,1,0,0,0,0,0,4,0,0,23,0,0,1,1,2,1,1,0,0
260,3,11,4,0,0,0,1,0,0,1154,1,0,4,0,0,0,0,0,4,1,0,57,0,0,1,3,1,1,0,0,0
261,0,12,2,0,0,1,0,0,0,1657,0,2,2,0,1,0,0,0,2,1,0,27,0,0,1,1,2,1,0,0,0
262,0,24,2,0,0,0,1,0,0,1603,0,4,4,0,0,0,0,0,4,0,0,55,0,0,1,1,2,1,0,0,0
263,0,18,4,1,0,0,0,0,0,5302,0,4,2,0,1,0,0,0,4,0,1,36,0,0,0,3,3,1,1,0,0
264,3,12,4,0,0,0,0,1,0,2748,0,4,2,0,0,0,0,0,4,0,1,57,1,0,0,3,1,1,0,0,0
265,3,10,4,1,0,0,0,0,0,1231,0,4,3,0,1,0,0,0,4,1,0,32,0,0,1,2,1,2,0,1,0
266,1,15,2,0,0,0,1,0,0,802,0,4,4,0,1,0,0,0,3,0,0,37,0,0,1,1,2,2,0,0,1
267,3,36,4,0,0,0,0,0,1,6304,4,4,4,0,1,0,0,0,4,1,0,36,0,0,1,2,2,1,0,0,0
268,3,24,2,0,0,0,1,0,0,1533,0,1,4,0,0,0,0,0,3,0,0,38,1,0,1,1,2,1,1,0,0
269,0,14,2,1,0,0,0,0,0,8978,0,4,1,1,0,0,0,0,4,0,0,45,0,0,1,1,3,1,1,1,1
270,3,24,2,0,0,0,1,0,0,999,4,4,4,0,1,0,0,0,2,0,0,25,0,0,1,2,2,1,0,0,0
271,3,18,2,1,0,0,0,0,0,2662,4,3,4,0,1,0,0,0,3,0,0,32,0,0,1,1,2,1,0,1,0
272,3,12,4,0,0,1,0,0,0,1402,2,3,3,0,0,0,0,0,4,0,0,37,0,1,0,1,2,1,1,0,0
273,1,48,1,1,0,0,0,0,0,12169,4,0,4,0,1,0,1,0,4,0,1,36,0,0,0,1,3,1,1,0,0
274,1,48,2,0,0,0,1,0,0,3060,0,3,4,0,1,0,0,0,4,1,0,28,0,0,1,2,2,1,0,0,1
275,0,30,2,0,0,0,0,0,0,11998,0,1,1,1,0,0,0,0,1,0,1,34,0,0,1,1,1,1,1,0,1
276,3,9,2,0,0,0,1,0,0,2697,0,2,1,0,1,0,0,0,2,1,0,32,0,0,1,1,2,2,0,0,0
277,3,18,4,0,0,0,1,0,0,2404,0,2,2,0,0,0,0,0,2,0,0,26,0,0,1,2,2,1,0,0,0
278,0,12,2,0,0,1,0,0,0,1262,4,4,2,1,0,0,0,0,4,0,0,49,0,0,1,1,1,1,1,0,0
279,3,6,2,0,0,1,0,0,0,4611,0,1,1,0,0,0,0,0,4,0,0,32,0,0,1,1,2,1,0,0,1
280,3,24,2,0,0,0,1,0,0,1901,1,2,4,0,1,0,0,0,4,0,0,29,0,1,0,1,3,1,1,0,0
281,3,15,4,0,1,0,0,0,0,3368,3,4,3,0,1,0,0,0,4,0,1,23,0,1,0,2,2,1,1,0,0
282,3,12,2,0,0,1,0,0,0,1574,0,2,4,0,1,0,0,0,2,1,0,50,0,0,1,1,2,1,0,0,0
283,2,18,1,0,0,0,1,0,0,1445,4,3,4,0,1,0,0,0,4,0,0,49,1,0,1,1,1,1,0,0,0
284,3,15,4,0,0,1,0,0,0,1520,4,4,4,0,1,0,0,0,4,0,0,63,0,0,1,1,2,1,0,0,0
285,1,24,4,1,0,0,0,0,0,3878,1,1,4,1,0,0,0,0,2,0,0,37,0,0,1,1,2,1,1,0,0
286,0,47,2,1,0,0,0,0,0,10722,0,1,1,0,0,0,0,0,1,1,0,35,0,0,1,1,1,1,1,0,0
287,0,48,2,0,1,0,0,0,0,4788,0,3,4,0,1,0,0,0,3,0,0,26,0,0,1,1,2,2,0,0,0
288,1,48,3,0,0,0,0,0,0,7582,1,0,2,0,1,0,0,0,4,0,1,31,0,0,0,1,3,1,1,0,0
289,1,12,2,0,0,0,1,0,0,1092,0,2,4,0,0,0,0,1,4,1,0,49,0,0,1,2,2,1,1,0,0
290,0,24,3,0,0,0,1,0,0,1024,0,1,4,0,0,1,0,0,4,1,0,48,1,0,1,1,2,1,0,0,1
291,3,12,2,0,0,0,0,0,1,1076,0,2,2,0,0,1,0,0,2,1,0,26,0,0,1,1,2,1,1,1,0
292,1,36,2,0,1,0,0,0,0,9398,0,1,1,0,0,1,0,0,4,0,0,28,0,1,0,1,3,1,1,0,1
293,0,24,4,0,1,0,0,0,0,6419,0,4,2,0,0,0,0,0,4,0,1,44,0,0,0,2,3,2,1,0,0
294,2,42,4,0,1,0,0,0,0,4796,0,4,4,0,1,0,0,0,4,0,1,56,0,0,0,1,2,1,0,0,0
295,3,48,4,0,0,0,0,0,1,7629,4,4,4,1,0,0,0,0,2,0,0,46,1,0,1,2,3,2,0,0,0
296,1,48,2,0,0,1,0,0,0,9960,0,1,1,0,0,0,0,0,2,0,0,26,0,0,1,1,2,1,1,0,1
297,3,12,2,0,1,0,0,0,0,4675,4,1,1,0,0,0,0,0,4,0,0,20,0,1,0,1,2,1,0,0,0
298,3,10,2,1,0,0,0,0,0,1287,4,4,4,0,1,0,1,0,2,0,0,45,0,0,1,1,1,1,0,1,0
